,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9906142857142857,,,,,
1,dbpedia mnli,0.10136571428571424,0.6475598573611818,,,,
2,dbpedia qnli,0.9736071428571428,,0.2459088412959912,,,
3,dbpedia sst2,0.9653757142857143,,,0.3565366972477064,,
4,dbpedia trec_coarse,0.9711299999999999,,,,0.0988,
5,dbpedia yelp_polarity,0.1027428571428571,,,,,0.8515236842105264
6,mnli,,0.8447070809984718,,,,
7,mnli qnli,,0.771971472236373,0.8163463298553907,,,
8,mnli sst2,,0.8354763117677025,,0.5451834862385321,,
9,mnli trec_coarse,,0.8374834437086094,,,0.32480000000000003,
10,mnli yelp_polarity,,0.4866632705043301,,,,0.6676184210526316
11,qnli,,,0.9307889438037709,,,
12,qnli sst2,,,0.9225517115138203,0.5458715596330275,,
13,qnli trec_coarse,,,0.9289401427786931,,0.184,
14,qnli yelp_polarity,,,0.6750686436024163,,,0.9542236842105263
15,sst2,,,,0.9266055045871558,,
16,sst2 trec_coarse,,,,0.909862385321101,0.0648,
17,sst2 yelp_polarity,,,,0.896559633027523,,0.9640447368421052
18,trec_coarse,,,,,0.9311999999999999,
19,trec_coarse yelp_polarity,,,,,0.1096,0.9599131578947369
20,yelp_polarity,,,,,,0.9681105263157894
