,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.0004154062569060202,,,,,
1,dbpedia mnli,0.025767271864124988,0.08874821110749101,,,,
2,dbpedia qnli,0.03483844362475181,,0.19600468111128186,,,
3,dbpedia sst2,0.03252870914080892,,,0.11084236177658689,,
4,dbpedia trec_coarse,0.026671806860037384,,,,0.04664952065967857,
5,dbpedia yelp_polarity,0.022783566102648232,,,,,0.12104499813842191
6,mnli,,0.0016684803256922245,,,,
7,mnli qnli,,0.04814127974944721,0.07408593717124304,,,
8,mnli sst2,,0.008757332373875926,,0.020622371265151426,,
9,mnli trec_coarse,,0.0065681200096554095,,,0.04865479307210018,
10,mnli yelp_polarity,,0.08735958353060083,,,,0.1645904316643126
11,qnli,,,0.0008944699451044971,,,
12,qnli sst2,,,0.006540705081577973,0.0743341826200802,,
13,qnli trec_coarse,,,0.0017595628542116843,,0.0,
14,qnli yelp_polarity,,,0.06026398139270691,,,0.020680208271635026
15,sst2,,,,0.004290891498593931,,
16,sst2 trec_coarse,,,,0.013032869931107022,0.07206910264153117,
17,sst2 yelp_polarity,,,,0.007774143008493085,,0.0028221917160021655
18,trec_coarse,,,,,0.06937947182784768,
19,trec_coarse yelp_polarity,,,,,0.03452277830972215,0.00968407584765231
20,yelp_polarity,,,,,,0.0014084780449836545
