,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9896428571428572,,,,,
1,mnli,,0.8480896586856852,,,,
2,mnli dbpedia,0.09268571428571429,0.615588385124809,,,,
3,qnli,,,0.9302580999450851,,,
4,qnli dbpedia,0.8762285714285715,,0.5528098114589054,,,
5,qnli mnli,,0.6987264391237901,0.8652754896576972,,,
6,qnli sst2,,,0.9071938495332235,0.5091743119266054,,
7,qnli trec_coarse,,,0.9278784550613216,,0.184,
8,qnli yelp_polarity,,,0.6760021965952773,,,0.9561842105263157
9,sst2,,,,0.9323394495412844,,
10,sst2 dbpedia,0.9805,,,0.4334862385321101,,
11,sst2 mnli,,0.8376974019358125,,0.5424311926605505,,
12,trec_coarse,,,,,0.944,
13,trec_coarse dbpedia,0.9894,,,,0.088,
14,trec_coarse mnli,,0.8433010697911361,,,0.296,
15,trec_coarse sst2,,,,0.9139908256880734,0.012,
16,trec_coarse yelp_polarity,,,,,0.136,0.964421052631579
17,yelp_polarity,,,,,,0.9646315789473684
18,yelp_polarity dbpedia,0.08281428571428572,,,,,0.9394736842105263
19,yelp_polarity mnli,,0.3704533876719307,,,,0.8524473684210526
20,yelp_polarity sst2,,,,0.8899082568807339,,0.9628684210526316
